director,id
jim henson,55983
john hughes,11505
jack sholder,62020
sean s. cunningham,35475
joseph zito,64195
danny steinmann,58822
tom mcloughlin,63550
john carl buechler,64722
rob hedden,64735
rick rosenthal,33341
tommy lee wallace,11777
dominique othenin-girard,32813
paul lynch,44130
bruce pittman,92438
peter r. simpson,35329
ron oliver,80523
clay borris,180868
john lafia,65678
jack bender,28976
tobe hooper,10051
gary sherman,33094
william peter blatty,57922
theresa connelly,1035941
michael oblowitz,82829
ronald neame,7501
irwin allen,7506
gary nelson,47893
vincent mceveety,15657
jack donohue,109452
austen jewell,109455
graham heid,150003
norman wright,160942
adrian lyne,7270
david nutter,33316
tommy o'haver,62514
zhang yuan,125091
rupert wainwright,11809
jeff blyth,186518
charles jarrott,29646
steven hilliard stern,51516
burny mattinson,61677
david michener,61678
kenny ortega,65310
fletcher markle,89685
nancy meyers,17698
david zucker,12987
sarah kelly,115698
sandra goldbacher,226493
jacques tourneur,10146
peter masterson,71732
liliana cavani,67750
istván szabó,225898
jeremy kagan,128947
hendel butoy,74297
john lounsbery,69003
alan zaslove,34480
toby shelton,139851
walter murch,154
les clark,115754
eric larson,22066
harve foster,275022
xavier koller,65874
walt disney,2106
steven lisberger,12859
ralph s. singleton,18855
ralph bakshi,16384
stephen king,3027
lewis teague,21819
fritz kiersch,66987
dan kuenster,69605
jesse peretz,130816
john hamburg,17871
ulrike koch,141310
jerry lewis,3663
charles a. nichols,106834
iwao takamoto,106835
martin rosen,70663
phil nibbelink,64949
michael chapman,1044
ethan wiley,69331
jamie uys,55668
richard martin,87767
kevin rodney sullivan,70777
tamara jenkins,54240
pupi avati,72191
bigas luna,37577
chuck parello,223312
john de bello,22353
peter george,1195866
stephen norrington,10808
randa haines,19798
alan cohn,111247
pat proft,12991
brad anderson,37948
sarah kernochan,15149
vincent ward,9198
bill plympton,126125
robert bierman,51950
françois ozon,4387
bob saget,72450
william nicholson,933
jack hulbert,931244
paul murray,1547332
andré charlot,130222
francis lee,192852
vincenzo natali,5877
timothy hutton,16327
troy byer,42974
lance hool,57154
mark steven johnson,16837
robert towne,11057
tony bill,57138
lewis john carlino,84657
tamar simon hoffs,253869
paul brickman,57383
peter sellars,143279
silvio narizzano,146225
charles band,19707
jerry schatzberg,98199
carl schultz,68085
dan aykroyd,707
terry hughes,15239
david veloz,3180
jerzy domaradzki,1075843
lance mungia,116653
ramin niami,1150813
jamie blanks,59958
david dobkin,42994
shekhar kapur,37630
lindsay anderson,78157
piers haggard,32154
richard quine,18907
peter sellers,12446
gordon douglas,51677
susanna styron,201278
eric darnell,18863
tim johnson,52870
john pieplow,554474
john maybury,40307
marc levin,82286
arthur marks,107065
stefan ruzowitzky,15115
evan dunsky,1043813
william ryan,65482
gary ross,23964
bennett miller,5345
roberto benigni,4818
trey parker,34517
john harrison,13367
tony kaye,814
s.r. bindler,75882
richard lagravenese,2163
hype williams,139874
martin brest,769
bruce mcdonald,55189
j. todd anderson,54563
andrei konchalovsky,58728
eugene corr,1077287
bryan forbes,31439
james d. parriott,1214034
norton virgien,86439
igor kovalyov,110873
walter salles,8574
predrag antonijević,21013
kirk jones,64045
thomas vinterberg,4453
ishirô honda,18598
koji hashimoto,1178751
r.j. kizer,52193
merian c. cooper,3238
ernest b. schoedsack,3239
john guillermin,6778
susan seidelman,53861
john glen,10179
jerry paris,41720
jim drake,65688
alan myerson,14995
peter bonerz,14987
george miller,20629
dean parisot,15002
neil abramson,109004
peter berg,36602
ferzan ozpetek,72197
troy miller,58868
brenda chapman,59803
steve hickner,44113
glenn a. jordan,30038
george seaton,24939
john d. hancock,79726
sylvester stallone,16483
jack fisk,5632
alan metter,69801
paul greengrass,25598
terrence malick,30715
maya angelou,54424
anthony drazan,173686
j.s. cardone,52371
anand tucker,26481
willard carroll,12227
shane meadows,70520
brian robbins,53177
